"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","√x (sx) error ","Pauli-X error ","CNOT error ","Gate time (ns)","Operational"
"0","218.29318772504067","105.29810496430589","4.946244918993569","-0.3441379643980549","0.007099999999999995","0.009000000000000008","0.0052","910.2222222222222","0.0001936110269754145","0.0001936110269754145","0.0001936110269754145","0_1:0.005730758829534832","0_1:259.55555555555554","true"
"1","195.9192799569496","203.7557412628976","4.836041587334279","-0.3487002789786346","0.00869999999999993","0.01319999999999999","0.0042","910.2222222222222","0.0002364556430637119","0.0002364556430637119","0.0002364556430637119","1_2:0.006280836512050525;1_4:0.007638269670921738;1_0:0.005730758829534832","1_2:320;1_4:391.1111111111111;1_0:330.66666666666663","true"
"2","97.29788658382508","149.6102468450032","5.053228836887547","-0.34155045049321014","0.007900000000000018","0.010000000000000009","0.0058","910.2222222222222","0.00031252806535573603","0.00031252806535573603","0.00031252806535573603","2_1:0.006280836512050525;2_3:0.00642420279174119","2_1:284.44444444444446;2_3:341.3333333333333","true"
"3","181.65281374887195","50.195004755617525","5.196616240400092","-0.33924166446260745","0.013399999999999967","0.011199999999999988","0.0156","910.2222222222222","0.00032364725736455007","0.00032364725736455007","0.00032364725736455007","3_5:0.006550125507204518;3_2:0.00642420279174119","3_5:348.4444444444444;3_2:270.22222222222223","true"
"4","153.08468579761487","329.10061037567806","4.959046139350764","-0.3431163552156697","0.005900000000000016","0.008","0.0038000000000000256","910.2222222222222","0.0002291967510438498","0.0002291967510438498","0.0002291967510438498","4_7:0.008840567122740228;4_1:0.007638269670921738","4_7:256;4_1:320","true"
"5","12.5389150740167","67.84130712367296","5.117663272424176","-0.34053255554406897","0.00660000000000005","0.008600000000000052","0.0046","910.2222222222222","0.00026213090340544546","0.00026213090340544546","0.00026213090340544546","5_8:0.005650865302453734;5_3:0.006550125507204518","5_8:362.66666666666663;5_3:384","true"
"6","96.38956160330785","181.27851491153314","4.987115020444119","-0.3444769597500831","0.011900000000000022","0.013599999999999945","0.0102","910.2222222222222","0.0004723581690421855","0.0004723581690421855","0.0004723581690421855","6_7:0.008994749449125816","6_7:362.66666666666663","true"
"7","80.99805568370681","92.58072051951618","4.8824501936350915","-0.34560653051507434","0.009800000000000031","0.0122","0.007399999999999962","910.2222222222222","0.0006933288940895058","0.0006933288940895058","0.0006933288940895058","7_6:0.008994749449125816;7_4:0.008840567122740228;7_10:0.008790103164491414","7_6:398.2222222222222;7_4:327.1111111111111;7_10:270.22222222222223","true"
"8","110.69471376830823","173.44442456380943","5.0186636063867045","-0.33180025737305086","0.007800000000000029","0.01100000000000001","0.0046","910.2222222222222","0.00019368051776658802","0.00019368051776658802","0.00019368051776658802","8_11:0.005811258634219857;8_9:0.011591815177827092;8_5:0.005650865302453734","8_11:398.2222222222222;8_9:362.66666666666663;8_5:398.2222222222222","true"
"9","149.78912317775297","154.6579876718574","4.904243254205858","-0.345492515530258","0.006699999999999928","0.0112","0.0021999999999999797","910.2222222222222","0.00029188009366674635","0.00029188009366674635","0.00029188009366674635","9_8:0.011591815177827092","9_8:398.2222222222222","true"
"10","134.19887170400514","226.39148885762066","4.948889185503667","-0.3446725957664228","0.019199999999999995","0.022399999999999975","0.016","910.2222222222222","0.0002774409215841987","0.0002774409215841987","0.0002774409215841987","10_12:0.01807915176538044;10_7:0.008790103164491414","10_12:288;10_7:199.1111111111111","true"
"11","163.29863971740468","26.805003945836464","5.0951195198729184","-0.34275422029132","0.010599999999999943","0.01200000000000001","0.0092","910.2222222222222","0.00020443816945760033","0.00020443816945760033","0.00020443816945760033","11_14:0.006269703818426786;11_8:0.005811258634219857","11_14:376.88888888888886;11_8:362.66666666666663","true"
"12","93.83307057832522","48.49851191402349","5.064174003343913","-0.34206691765765174","0.009400000000000075","0.011","0.007800000000000029","910.2222222222222","0.0006843158756354861","0.0006843158756354861","0.0006843158756354861","12_15:0.008542461085499914;12_10:0.01807915176538044;12_13:0.005484539029154301","12_15:469.3333333333333;12_10:216.88888888888889;12_13:284.44444444444446","true"
"13","147.82565492644696","137.5346650089046","5.113831183899085","-0.342088328609265","0.025900000000000034","0.028000000000000025","0.0238","910.2222222222222","0.0005017556150130894","0.0005017556150130894","0.0005017556150130894","13_14:0.0071688707729353485;13_12:0.005484539029154301","13_14:355.55555555555554;13_12:213.33333333333331","true"
"14","100.9813997127641","55.11134899679882","4.986775701515326","-0.34484480134525225","0.008999999999999897","0.012599999999999945","0.0054","910.2222222222222","0.00022326206175470376","0.00022326206175470376","0.00022326206175470376","14_16:0.013112892500463075;14_11:0.006269703818426786;14_13:0.0071688707729353485","14_16:462.2222222222222;14_11:412.4444444444444;14_13:391.1111111111111","true"
"15","114.78821389407312","127.29790096161935","4.8071180391016615","-0.3405146004657813","0.010099999999999998","0.0118","0.008399999999999963","910.2222222222222","0.0006881465977781932","0.0006881465977781932","0.0006881465977781932","15_12:0.008542461085499914;15_18:1","15_12:504.88888888888886;15_18:711.1111111111111","true"
"16","93.53042225124479","8.025826059239217","4.8404913178782225","-0.34329389694176865","0.09230000000000005","0.11140000000000005","0.0732","910.2222222222222","0.0005935738820688555","0.0005935738820688555","0.0005935738820688555","16_19:0.03506198755057913;16_14:0.013112892500463075","16_19:888.8888888888888;16_14:497.77777777777777","true"
"17","132.5646601258084","62.5364390480839","4.888188478372838","-0.3466557873871231","0.006899999999999906","0.0074","0.006399999999999961","910.2222222222222","0.0001476487617915266","0.0001476487617915266","0.0001476487617915266","17_18:0.00955559949683718","17_18:654.2222222222222","true"
"18","182.24970154744392","45.537571241622196","5.009703233434782","-0.34411198899010936","0.014100000000000001","0.0168","0.011399999999999966","910.2222222222222","0.0010314455350187953","0.0010314455350187953","0.0010314455350187953","18_17:0.00955559949683718;18_21:0.017557751081390044;18_15:1","18_17:618.6666666666666;18_21:583.1111111111111;18_15:675.5555555555555","true"
"19","102.051864539632","60.42313501032613","5.218660911114595","-0.3276275551647752","0.026800000000000046","0.0368","0.016800000000000037","910.2222222222222","0.0007721517500440222","0.0007721517500440222","0.0007721517500440222","19_16:0.03506198755057913;19_22:0.025656460330890862;19_20:0.023413953659310566","19_16:853.3333333333333;19_22:398.2222222222222;19_20:334.22222222222223","true"
"20","147.3819545088501","115.2819563464996","4.961913970436118","-0.3444372831425557","0.03289999999999993","0.043399999999999994","0.0224","910.2222222222222","0.0009709912139314662","0.0009709912139314662","0.0009709912139314662","20_19:0.023413953659310566","20_19:369.77777777777777","true"
